"Transaction ID","Date","Transaction Type","Currency","Amount","Fee","Net Amount","Asset Type","Asset Price","Asset Amount","Status","Notes","Name of sender/receiver","Account"
"dug4yv","2023-08-08 09:57:00 PST","Bitcoin Buy","USD","-$2,455.00","-$45.00","-$2,500.00","BTC","$29,770.51","0.08246416","COMPLETED","purchase of BTC 0.08246416","","Your Cash"
"3dbbk3","2023-08-08 09:59:00 PST","Bitcoin Withdrawal","USD","-$2,500.00","$0","-$2,500.00","BTC","$29,770.51","0.08246416","COMPLETED","Withdrawing BTC 0.08246416","","Your Cash"
"yegyrw","2023-08-08 11:04:00 PST","Bitcoin Buy","USD","-$491.00","-$9.00","-$500.00","BTC","$29,770.51","0.01649283","COMPLETED","purchase of BTC 0.01649283","","Your Cash"
"v6ripa","2023-08-08 11:06:00 PST","Bitcoin Withdrawal","USD","-$500.00","$0","-$500.00","BTC","$29,770.51","0.01649283","COMPLETED","Withdrawing BTC 0.01649283","","Your Cash"
"85vuco","2023-08-19 16:14:00 PST","Bitcoin Buy","USD","-$294.60","-$5.40","-$300.00","BTC","$26,095.80","0.01128917","COMPLETED","purchase of BTC 0.01128917","","Your Cash"
"1kf0y4","2023-08-19 16:16:00 PST","Bitcoin Withdrawal","USD","-$300.00","$0","-$300.00","BTC","$26,095.80","0.01128917","COMPLETED","Withdrawing BTC 0.01128917","","Your Cash"
"5012uu","2023-09-01 09:45:00 PST","Bitcoin Buy","USD","-$982.00","-$18.00","-$1,000.00","BTC","$25,798.79","0.03806380","COMPLETED","purchase of BTC 0.03806380","","Your Cash"
"yf7xaq","2023-09-01 09:47:00 PST","Bitcoin Withdrawal","USD","-$1,000.00","$0","-$1,000.00","BTC","$25,798.79","0.03806380","COMPLETED","Withdrawing BTC 0.03806380","","Your Cash"
"06w2xv","2023-09-05 18:30:00 PST","Bitcoin Buy","USD","-$982.00","-$18.00","-$1,000.00","BTC","$25,785.01","0.03808414","COMPLETED","purchase of BTC 0.03808414","","Your Cash"
"8lwjbe","2023-09-05 18:32:00 PST","Bitcoin Withdrawal","USD","-$1,000.00","$0","-$1,000.00","BTC","$25,785.01","0.03808414","COMPLETED","Withdrawing BTC 0.03808414","","Your Cash"
