Date,Source,Action,BTC_Amount,USD_Amount,Fees
2017-12-08 19:07:00+00:00,Coinbase,BUY,0.15062232,2000.00,29.80
2017-12-12 09:47:00+00:00,Coinbase,BUY,0.07946480,1000.00,14.90
2017-12-20 13:15:00+00:00,Coinbase,BUY,0.24300349,3000.00,44.70
2017-12-22 12:08:00+00:00,Coinbase,BUY,0.06058028,750.00,11.18
2017-12-28 20:06:00+00:00,Coinbase,BUY,0.04465720,500.00,7.45
2021-01-06 02:37:00+00:00,Coinbase,BUY,0.00278227,100.00,1.49
2021-01-13 05:02:00+00:00,Coinbase,BUY,0.00272136,100.00,1.49
2021-01-20 02:05:00+00:00,Coinbase,BUY,0.00250795,100.00,1.49
2021-01-27 03:14:00+00:00,Coinbase,BUY,0.00221631,100.00,1.49
2021-02-03 02:35:00+00:00,Coinbase,BUY,0.00215331,100.00,1.49
2021-02-10 03:45:00+00:00,Coinbase,BUY,0.00198199,100.00,1.49
2021-02-17 05:14:00+00:00,Coinbase,BUY,0.00192804,100.00,1.49
2021-02-24 05:37:00+00:00,Coinbase,BUY,0.00173742,100.00,1.49
2021-03-03 04:51:00+00:00,Coinbase,BUY,0.00168844,100.00,1.49
2021-03-10 02:48:00+00:00,Coinbase,BUY,0.00169010,100.00,1.49
2021-03-17 03:44:00+00:00,Coinbase,BUY,0.00168587,100.00,1.49
2021-03-24 05:21:00+00:00,Coinbase,BUY,0.00173768,100.00,1.49
2021-03-31 04:09:00+00:00,Coinbase,BUY,0.00168760,100.00,1.49
2021-04-07 03:48:00+00:00,Coinbase,BUY,0.00186230,100.00,1.49
2021-04-14 04:06:00+00:00,Coinbase,BUY,0.00204282,100.00,1.49
2021-04-21 02:24:00+00:00,Coinbase,BUY,0.00233626,100.00,1.49
2021-04-28 02:22:00+00:00,Coinbase,BUY,0.00247432,100.00,1.49
2021-05-05 04:38:00+00:00,Coinbase,BUY,0.00259033,100.00,1.49
2021-05-12 04:51:00+00:00,Coinbase,BUY,0.00271483,100.00,1.49
2021-05-19 02:46:00+00:00,Coinbase,BUY,0.00274747,100.00,1.49
2021-05-26 05:34:00+00:00,Coinbase,BUY,0.00276634,100.00,1.49
2021-06-02 02:59:00+00:00,Coinbase,BUY,0.00270270,100.00,1.49
2021-06-09 05:05:00+00:00,Coinbase,BUY,0.00266536,100.00,1.49
2021-06-16 04:53:00+00:00,Coinbase,BUY,0.00264747,100.00,1.49
2021-06-23 04:36:00+00:00,Coinbase,BUY,0.00243952,100.00,1.49
2021-06-30 03:45:00+00:00,Coinbase,BUY,0.00241686,100.00,1.49
2021-07-07 02:02:00+00:00,Coinbase,BUY,0.00224157,100.00,1.49
2021-07-14 03:49:00+00:00,Coinbase,BUY,0.00227792,100.00,1.49
2021-07-21 04:05:00+00:00,Coinbase,BUY,0.00216612,100.00,1.49
2021-07-28 03:55:00+00:00,Coinbase,BUY,0.00208599,100.00,1.49
2021-08-04 02:24:00+00:00,Coinbase,BUY,0.00211045,100.00,1.49
2021-08-11 04:29:00+00:00,Coinbase,BUY,0.00214129,100.00,1.49
2021-08-18 04:10:00+00:00,Coinbase,BUY,0.00217910,100.00,1.49
2021-08-25 04:22:00+00:00,Coinbase,BUY,0.00216970,100.00,1.49
2021-09-01 03:42:00+00:00,Coinbase,BUY,0.00220643,100.00,1.49
2021-09-08 04:44:00+00:00,Coinbase,BUY,0.00209971,100.00,1.49
2021-09-15 02:38:00+00:00,Coinbase,BUY,0.00190128,100.00,1.49
2021-09-22 03:34:00+00:00,Coinbase,BUY,0.00175359,100.00,1.49
2021-09-29 03:10:00+00:00,Coinbase,BUY,0.00169700,100.00,1.49
